Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
37;7.400057119401151;1,480;0;7.898982;105,465;105,465;0;0;1,950;1.001214;8.000000;276.613287;37,551;67,914;105,465;0;0;0;0.0001318095490651141;0.000136920416801581;9.107065;19.001781;0.238075;105,593;15,600
35;7.000017745227766;1,518;0;8.102986;105,465;105,465;0;0;2,366;1.001214;6.593407;273.078296;37,551;67,914;105,465;0;0;0;0.0001209782036887187;0.0001362729790170841;9.107065;19.001781;0.238075;105,593;15,600
38;7.600069830839023;1,488;0;7.985791;105,465;105,465;0;0;1,950;1.001214;8.000000;284.600937;37,551;67,914;105,465;0;0;0;0.0001228584812898299;0.0001372783517077132;9.107065;19.001781;0.238075;105,593;15,600
36;7.200054122181746;1,519;0;8.175907;105,465;105,465;0;0;1,950;1.001214;8.000000;281.256191;37,551;67,914;105,465;0;0;0;0.0001231174650719383;0.0001362873348723561;9.107065;19.001781;0.238075;105,593;15,600
39;7.800034371316614;1,532;0;8.236326;105,465;105,465;0;0;2,275;1.001214;6.857143;292.838693;37,551;67,914;105,465;0;0;0;0.0001217693802499759;0.0001372007838847499;9.107065;19.001781;0.238075;105,593;15,600
37;7.400057119401151;1,480;0;7.941379;105,465;105,465;0;0;1,950;1.001214;8.000000;289.199412;37,551;67,914;105,465;0;0;0;0.0001318095490651141;0.000136920416801581;9.107065;19.001781;0.238075;105,593;15,600
40;8.000107958182703;1,474;0;7.872685;105,465;105,465;0;0;1,950;1.001214;8.000000;300.713467;37,551;67,914;105,465;0;0;0;0.0001330702637553443;0.0001372473147745783;9.107065;19.001781;0.238075;105,593;15,600
38;7.600069830839023;1,488;0;7.948378;105,465;105,465;0;0;1,950;1.001214;8.000000;297.149876;37,551;67,914;105,465;0;0;0;0.0001228584812898299;0.0001372783517077132;9.107065;19.001781;0.238075;105,593;15,600
41;8.200001966003105;1,481;0;7.961821;105,465;105,465;0;0;1,950;1.001214;8.000000;308.676717;37,551;67,914;105,465;0;0;0;0.0001325115627176892;0.0001367897362550403;9.107065;19.001781;0.238075;105,593;15,600
39;7.800034371316614;1,532;0;8.248118;105,465;105,465;0;0;2,275;1.001214;6.857143;305.400124;37,551;67,914;105,465;0;0;0;0.0001217693802499759;0.0001372007838847499;9.107065;19.001781;0.238075;105,593;15,600
42;8.400030984533728;1,530;0;8.213131;105,465;105,465;0;0;2,275;1.001214;6.857143;316.891395;37,551;67,914;105,465;0;0;0;0.0001230954778173093;0.0001360363480949545;9.107065;19.001781;0.238075;105,593;15,600
40;8.000107958182703;1,474;0;7.916374;105,465;105,465;0;0;1,950;1.001214;8.000000;313.319809;37,551;67,914;105,465;0;0;0;0.0001330702637553443;0.0001372473147745783;9.107065;19.001781;0.238075;105,593;15,600
43;8.600109065958565;1,478;0;7.904971;105,465;105,465;0;0;1,950;1.001214;8.000000;324.797948;37,551;67,914;105,465;0;0;0;0.000132138034995169;0.000137087013681209;9.107065;19.001781;0.238075;105,593;15,600
41;8.200001966003105;1,481;0;7.905407;105,465;105,465;0;0;1,950;1.001214;8.000000;321.227126;37,551;67,914;105,465;0;0;0;0.0001325115627176892;0.0001367897362550403;9.107065;19.001781;0.238075;105,593;15,600
44;8.800051429773873;1,478;0;7.897246;105,465;105,465;0;0;1,625;1.001214;9.600000;332.696831;37,551;67,914;105,465;0;0;0;0.0001334262808756583;0.000136981141272729;9.107065;19.001781;0.238075;105,593;15,600
